Date,Open,High,Low,Close,Volume,Target
2015-01-02,14.857999801635742,14.883333206176758,14.21733283996582,14.620667457580566,71466000,14.005999565124512
2015-01-05,14.303333282470703,14.43333339691162,13.810667037963867,14.005999565124512,80527500,14.085332870483398
2015-01-06,14.003999710083008,14.279999732971191,13.61400032043457,14.085332870483398,93928500,14.063332557678224
2015-01-07,14.223333358764648,14.3186674118042,13.985333442687988,14.063332557678224,44526000,14.041333198547363
2015-01-08,14.187333106994627,14.25333309173584,14.000666618347168,14.041333198547363,51637500,13.77733325958252
2015-01-09,13.928000450134276,13.998666763305664,13.663999557495115,13.77733325958252,70024500,13.480667114257812
2015-01-12,13.536666870117188,13.631333351135254,13.283332824707031,13.480667114257812,89254500,13.616666793823242
2015-01-13,13.554667472839355,13.84066677093506,13.394000053405762,13.616666793823242,67159500,12.845999717712402
2015-01-14,12.388667106628418,13.013333320617676,12.333333015441896,12.845999717712402,173278500,12.791333198547363
2015-01-15,12.965999603271484,13.050000190734863,12.666666984558104,12.791333198547363,78247500,12.871333122253418
2015-01-16,12.713333129882812,12.965999603271484,12.643333435058594,12.871333122253418,54048000,12.795332908630373
2015-01-20,12.924667358398438,12.941332817077637,12.469332695007324,12.795332908630373,67548000,13.104666709899902
2015-01-21,12.636667251586914,13.245332717895508,12.633999824523926,13.104666709899902,62295000,13.441332817077637
2015-01-22,13.133333206176758,13.54933261871338,13.013333320617676,13.441332817077637,61753500,13.419333457946776
2015-01-23,13.352666854858398,13.56666660308838,13.222000122070312,13.419333457946776,51579000,13.770000457763672
2015-01-26,13.45533275604248,13.907999992370604,13.403332710266112,13.770000457763672,48517500,13.732000350952148
2015-01-27,13.628000259399414,13.868666648864746,13.553333282470703,13.732000350952148,41715000,13.291333198547363
2015-01-28,13.740667343139648,13.758000373840332,13.227999687194824,13.291333198547363,47244000,13.68000030517578
2015-01-29,13.404666900634766,13.732000350952148,13.100000381469728,13.68000030517578,53221500,13.57333278656006
2015-01-30,13.597332954406738,13.83133316040039,13.533332824707031,13.57333278656006,45105000,14.062666893005373
2015-02-02,13.597999572753906,14.130000114440918,13.553333282470703,14.062666893005373,62238000,14.557332992553713
2015-02-03,14.214667320251465,14.691332817077637,14.084667205810549,14.557332992553713,72393000,14.56999969482422
2015-02-04,14.552666664123535,14.76533317565918,14.453332901000977,14.56999969482422,49581000,14.732666969299316
2015-02-05,14.658666610717772,15.031999588012695,14.642666816711426,14.732666969299316,52843500,14.490667343139648
2015-02-06,14.800000190734863,14.893333435058594,14.43333339691162,14.490667343139648,48658500,14.498666763305664
2015-02-09,14.358667373657228,14.528667449951172,14.13266658782959,14.498666763305664,52086000,14.419333457946776
2015-02-10,14.50333309173584,14.699999809265137,14.333333015441896,14.419333457946776,80857500,14.186667442321776
2015-02-11,14.147333145141602,14.315999984741213,13.8186674118042,14.186667442321776,146536500,13.525333404541016
2015-02-12,12.904666900634766,13.53933334350586,12.885333061218262,13.525333404541016,234744000,13.584667205810549
2015-02-13,13.526666641235352,13.732666969299316,13.394000053405762,13.584667205810549,92865000,13.623332977294922
2015-02-17,13.713333129882812,13.713333129882812,13.43333339691162,13.623332977294922,59694000,13.630666732788086
2015-02-18,13.611332893371582,13.744667053222656,13.506667137145996,13.630666732788086,40704000,14.11400032043457
2015-02-19,13.666666984558104,14.162667274475098,13.583333015441896,14.11400032043457,77311500,14.473999977111816
2015-02-20,14.052000045776367,14.506667137145996,13.987333297729492,14.473999977111816,89731500,13.822667121887209
